club,league
Aucas,Ecuador
Santos Laguna,Mexico
Bayer Leverkusen,Germany
São Paulo,Brazil
Los Angeles FC,United States
Antwerp,Belgium
Brighton & Hove Albion,England
FC Augsburg,Germany
Pachuca,Mexico
Cruz Azul,Mexico
Independiente del Valle,Ecuador
Fenerbahçe,Turkey
Seattle Sounders FC,United States
León,Mexico
Genk,Belgium
Valladolid,Spain
Talleres,Argentina
LDU Quito,Ecuador
Newell's Old Boys,Argentina
Troyes,France
Imbabura,Ecuador
Ajax,Netherlands
Bayern Munich,Germany
Liverpool,England
Manchester City,England
Internazionale,Italy
PSV Eindhoven,Netherlands
Barcelona,Spain
Club Brugge,Belgium
Feyenoord,Netherlands
Atalanta,Italy
Manchester United,England
Beşiktaş,Turkey
Heerenveen,Netherlands
Al-Sadd,Qatar
Al-Rayyan,Qatar
Al-Gharafa,Qatar
Al-Duhail,Qatar
Al-Wakrah,Qatar
Al-Arabi,Qatar
Chelsea,England
Monaco,France
RB Leipzig,Germany
Everton,England
Leicester City,England
Real Betis,Spain
Nottingham Forest,England
Sheffield United,England
Amiens,France
Olympiacos,Greece
Marseille,France
Pafos,Cyprus
Rayo Vallecano,Spain
Tottenham Hotspur,England
Watford,England
Alanyaspor,Turkey
Salernitana,Italy
Milan,Italy
Queens Park Rangers,England
Reading,England
Villarreal,Spain
Rennes,France
West Ham United,England
Newcastle United,England
Arsenal,England
Borussia Dortmund,Germany
Persepolis,Iran
Dinamo Zagreb,Croatia
AEK Athens,Greece
Al-Ahli Doha,Qatar
Vejle,Denmark
Porto,Portugal
Omonia,Cyprus
Sepahan,Iran
Brentford,England
Esteghlal,Iran
Charleroi,Belgium
Kayserispor,Turkey
Shabab Al-Ahli,UAE
Ponferradina,Spain
Nashville SC,United States
Leeds United,England
Fulham,England
Valencia,Spain
Juventus,Italy
FC Dallas,United States
Luton Town,England
Celta Vigo,Spain
New York Red Bulls,United States
Antalyaspor,Turkey
Celtic,Scotland
Lille,France
Inter Miami CF,United States
Norwich City,England
New York City FC,United States
Borussia Mönchengladbach,Germany
Wimbledon,England
Bournemouth,England
Swansea City,Wales
Nice,France
Burnley,England
Spezia,Italy
Portsmouth,England
Swindon Town,England
Cardiff City,Wales
Huddersfield Town,England
Dundee United,Scotland
Milton Keynes Dons,England
River Plate,Argentina
Lyon,France
Sevilla,Spain
Atlético Madrid,Spain
Paris Saint-Germain,France
Fiorentina,Italy
Benfica,Portugal
Roma,Italy
Aston Villa,England
Juárez,Mexico
América,Mexico
Monterrey,Mexico
Cremonese,Italy
Wolverhampton Wanderers,England
Guadalajara,Mexico
Houston Dynamo FC,United States
Napoli,Italy
Legia Warsaw,Poland
Clermont,France
Birmingham City,England
Al-Shabab,Saudi Arabia
Pogoń Szczecin,Poland
Bologna,Italy
VfL Wolfsburg,Germany
Benevento,Italy
Charlotte FC,United States
Sampdoria,Italy
Copenhagen,Denmark
Lens,France
Lech Poznań,Poland
Al-Ahli,Saudi Arabia
Al-Nassr,Saudi Arabia
Al-Hilal,Saudi Arabia
Al-Fateh,Saudi Arabia
Al-Ittihad,Saudi Arabia
Abha,Saudi Arabia
Columbus Crew,United States
Heart of Midlothian,Scotland
Brescia,Italy
Hibernian,Scotland
Melbourne City,Australia
Sunderland,England
Hellas Verona,Australia
Cádiz,Spain
Sydney FC,Australia
Middlesbrough,England
Fagiano Okayama,Japan
Central Coast Mariners,Australia
Stoke City,England
Albirex Niigata,Japan
FC St. Pauli,Germany
Adelaide United,Australia
OB,Denmark
St Mirren,Scotland
Crystal Palace,England
Galatasaray,Turkey
Espanyol,Spain
Hertha BSC,Germany
Trabzonspor,Turkey
Brøndby,Denmark
Union Berlin,Germany
1899 Hoffenheim,Germany
Eintracht Frankfurt,Germany
Real Madrid,Spain
Étoile du Sahel,Tunisia
Kuwait SC,Kuwait
Lorient,France
Espérance de Tunis,Tunisia
Club Africain,Tunisia
Montpellier,France
Al Ahly,Egypt
Ferencváros,Hungry
CS Sfaxien,Tunisia
1. FC Köln,Germany
Zamalek,Egypt
Luzern,Switzerland
Atromitos,Greece
US Monastir,Tunisia
Al-Ettifaq,Saudi Arabia
Caen,France
Cartaginés,Denmark
Millonarios,Colombia
Herediano,Costa Rica
Alajuelense,Costa Rica
Al-Wehda,Saudi Arabia
Real Salt Lake,United States
Saprissa,Costa Rica
Konyaspor,Turkey
San Carlos,Costa Rica
Guanacasteca,Costa Rica
FC Cincinnati,United States
Lugo,Spain
Municipal Grecia,Costa Rica
Puntarenas,Costa Rica
SC Freiburg,Germany
Werder Bremen,Germany
Southampton,England
Strasbourg,France
Kawasaki Frontale,Japan
FC Tokyo,Japan
VfB Stuttgart,Germany
Leganés,Spain
Real Sociedad,Spain
Shimizu S-Pulse,Japan
Sporting CP,Portugal
Reims,France
Fortuna Düsseldorf,Germany
VfL Bochum,Germany
Urawa Red Diamonds,Japan
Shonan Bellmare,Japan
Cercle Brugge,Belgium
Schalke 04,Germany
Sint-Truiden,Belgium
Nagoya Grampus,Japan
Athletic Bilbao,Spain
Anderlecht,Belgium
Minnesota United FC,United States
CF Montréal,Canada
Hatayspor,Turkey
Chaves,Portugal
Deinze,Belgium
Vancouver Whitecaps FC,Canada
Toronto FC,Canada
Red Star Belgrade,Serbia
Basel,Switzerland
St Johnstone,Scotland
Panetolikos,Greece
Rangers,Scotland
Sassuolo,Italy
Zenit Saint Petersburg,Russia
Torino,Italy
Hajduk Split,Croatia
Osasuna,Spain
Osijek,Croatia
Red Bull Salzburg,Austria
Angers,France
Toulouse,France
Standard Liège,Belgium
Brest,France
Bari,Italy
Wydad AC,Morocco
Qatar SC,Qatar
Palmeiras,Brazil
UNAM,Mexico
Flamengo,Brazil
Colombe Sportive,Cameroon
Aris,Greece
Hannover 96,Germany
Dynamo Moscow,Russia
Young Boys,Switzerland
Shanghai Shenhua,China
Mechelen,Belgium
Philadelphia Union,United States
Al-Tai,Saudi Arabia
Nantes,France
Udinese,Italy
Coton Sport,Cameroon
Getafe,Spain
Mallorca,Spain
PAOK,Greece
Almería,Spain
Braga,Portugal
Lazio,Italy
Mainz 05,Germany
Lugano,Switzerland
Chicago Fire FC,United States
St. Gallen,Switzerland
Gent,Belgium
Asante Kotoko,Cameroon
Hearts of Oak,Cameroon
Auxerre,France
Eupen,Belgium
Bristol City,England
FC Seoul,South Korea
Jeonbuk Hyundai Motors,South Korea
Shandong Taishan,China
Daegu FC,South Korea
Ulsan Hyundai,South Korea
Gamba Osaka,Japan
Gimcheon Sangmu,South Korea
Daejeon Hana Citizen,South Korea
Vélez Sarsfield,Argentina
Nacional,Uruguay
Independiente,Argentina
Orlando City SC,United States
LA Galaxy,United States
Athletico Paranaense,Brazil